topic,rank,word,weight
5,6,francisco,60482.632478249354
5,7,center,54262.1205848061
5,8,funeral,44807.26660416333
5,9,de,37806.12042422042
5,10,steven,34727.9363012083
5,11,advertising,34541.904288764905
5,12,executive,30722.048473708193
5,13,director,29285.470215090347
5,14,loving,27370.311237176054
5,15,regulator,24750.32648492273
5,16,dir,23891.245775159434
5,17,van,23561.01174892465
5,18,ad,23192.42704983971
5,19,puerto,22649.046348694315
5,20,diego,22107.23432394907
6,1,mr,857593.9539222012
6,2,death,268781.0441443063
6,3,son,248220.82445742196
6,4,john,220315.2362128386
6,5,daughter,211366.72806794845
6,6,notice,208964.00047337404
6,7,york,208048.5824897157
6,8,new,181062.35660552344
6,9,paid,177006.32737377752
6,10,jr,167274.61247315424
6,11,miss,164322.4997745359
6,12,married,158121.32426061397
6,13,robert,153079.1645920558
6,14,father,136351.04463234422
6,15,wife,135238.61958011068
6,16,david,134712.0458287407
6,17,william,131729.21284861214
6,18,late,128440.15071467348
6,19,died,125468.47375208144
6,20,james,123463.17837328541
7,1,state,368945.8682088604
7,2,new,251961.91800076008
7,3,plan,251716.5060760114
7,4,say,251225.01408084642
7,5,bill,238257.30342988225
7,6,would,231103.04675573105
7,7,city,201662.71648077248
7,8,vote,178540.4234962015
7,9,republican,171249.7318047081
7,10,house,161151.7556863615
7,11,union,160803.64816172767
7,12,law,154417.95517295704
7,13,mayor,153944.3272780903
7,14,senate,148209.8781944567
7,15,campaign,140562.33175008767
7,16,election,139061.39390593843
7,17,com,122382.16530626464
7,18,group,121288.43271160658
7,19,sen,117098.29048151021
7,20,program,113001.39318253449
8,1,court,310755.6433232241
8,2,case,232087.497285843
8,3,charge,184490.25833035112
8,4,police,182809.6990979846
8,5,said,176977.09289810064
8,6,judge,173255.8772751639
8,7,company,163397.10331995622
8,8,co,154188.15329892267
8,9,federal,136399.9877097827
8,10,trial,131277.10502558842
8,11,state,120797.58083393004
8,12,say,109257.26892797435
8,13,former,105902.06164776754
8,14,correction,103751.70098614521
8,15,drug,103403.55655084764
8,16,justice,103331.59559445026
8,17,officer,100387.24047399282
8,18,lawyer,99779.0247238397
8,19,ct,97251.2622951679
8,20,new,90566.12626800353
9,1,game,343486.5828036813
9,2,team,201427.40913460313
9,3,first,170208.0696400327
9,4,league,169723.48975289927
9,5,today,167729.92100194798
9,6,season,164765.09020944417
9,7,two,152643.9186807199
9,8,year,147152.36019901725
9,9,victory,145960.86296766484
9,10,new,140122.3062619514
9,11,last,130488.54081416449
9,12,run,128140.4264535497
9,13,second,119127.04074611719
9,14,coach,114332.49327531918
9,15,player,114016.37921937626
9,16,giant,112938.80486151145
9,17,football,105559.86647441528
9,18,national,105278.44405968068
9,19,three,104770.08370918514
9,20,yankee,103220.08031709604
10,1,president,386559.64833675337
10,2,say,327416.1597833391
10,3,nation,171090.7843420907
10,4,talk,168651.9838806615
10,5,state,167615.2155853717
10,6,letter,164476.84718141862
10,7,bush,149666.01749350893
10,8,united,148034.19049624566
10,9,pres,147764.75580720385
10,10,policy,135825.77891059633
10,11,party,132582.8947329122
10,12,world,120575.15708057336
10,13,political,119346.61150645389
10,14,leader,118756.56077930317
10,15,would,115581.94977890534
10,16,article,115286.4853538543
10,17,war,111645.26706978369
10,18,news,107068.78780559284
10,19,peace,100815.62270881353
10,20,foreign,98945.12532427852
11,1,said,167676.80125857476
11,2,soviet,138065.71725480436
11,3,killed,128445.74731684448
11,4,war,123669.59891152776
11,5,attack,123190.84626087036
11,6,china,121444.93753638442
11,7,official,118512.82767415041
11,8,iraq,115335.4791781273
11,9,force,114314.505539666
11,10,police,102824.43569749295
11,11,say,102548.7738531673
11,12,south,101918.57444228517
11,13,fire,98504.74966151139
11,14,government,98021.8020722311
11,15,israel,89670.9147751291
11,16,military,84896.2848743086
11,17,american,81650.24082623667
11,18,troop,81593.74189914421
11,19,russian,77817.76520290067
11,20,today,75768.70205100691
12,1,air,163115.44235539867
12,2,new,153622.81243695682
12,3,service,108988.56493679446
12,4,video,85297.54999536362
12,5,network,84232.5754659307
12,6,radio,82154.77938894094
12,7,ship,77902.55381884285
12,8,airline,75196.92680400009
12,9,american,71573.64994301135
12,10,plane,71160.20781992121
12,11,flight,69433.82499554855
12,12,line,67477.09171709808
12,13,chief,62887.630847860586
12,14,system,62062.188385472386
12,15,army,61316.810122012605
12,16,television,61141.94157376867
12,17,station,60037.527102970125
12,18,world,57960.54960800589
12,19,travel,56460.71815006458
12,20,airport,55632.36251406447
13,1,school,490625.8845760888
13,2,university,262753.1079612366
13,3,student,249444.01697986762
13,4,new,244168.76553520525
13,5,college,196639.30772777612
13,6,dr,196412.77289048134
13,7,book,137351.33031829476
13,8,york,133002.7959046139
13,9,year,106148.33413371148
13,10,education,101822.65092526631
13,11,teacher,100407.97684877935
13,12,israeli,95622.3795561368
13,13,church,95026.88824976515
13,14,nuclear,94128.45819101806
13,15,ny,91529.2176533547
13,16,child,90183.8719435538
13,17,medical,87935.7780549432
13,18,service,87283.56434773517
13,19,obama,85586.9724165644
13,20,research,82930.36154351196
14,1,one,589483.0326715262
14,2,year,544040.3794416928
14,3,new,526992.0730640333
14,4,time,437558.7079420643
14,5,life,322624.7389462484
14,6,like,322156.53931826085
14,7,photo,306815.45518258476
14,8,people,267631.1057747867
14,9,said,250397.1271424796
14,10,many,245585.0778301703
14,11,old,237906.03029520373
14,12,two,229191.395963588
14,13,day,212798.30563174706
14,14,woman,212628.36803614712
14,15,way,199992.0809551611
14,16,book,184252.87786675227
14,17,even,184067.23643484386
14,18,man,179843.627499603
14,19,make,176987.43530781392
14,20,child,176514.0047093858
